,text,n_tokens
156,"In recent months, central banks in multiple large countries have announced plans for CBDCs this decade, giving almost 2 billion people the opportunity to experiment with digital currency. To be successfully adopted into the mainstream, blockchain needs the help of technology enablers, including (1) decentralized digital identities, (2) zero-knowledge proofs, (3) Oracles, and (4) secure bridges. The legal plumbing also needs to be altered to enable smart legal contracts that will provide a whole new set of rails for global commerce and finance to run on. Regulatory considerations are also necessary to allow adoption and scalability without the hindering innovation. Although we think mass adoption could still be six to eight years away, momentum on adoption has positively shifted as governments, large institutions, and corporations have moved from investigating the benefits of tokenization to trials and proofs of concept.Billions of UsersBlockchain user numbers will be boosted by daily activity. The success of blockchain adoption will be measured by when it is being used by a billion plus end users who do not even realize they are using the technology. Blockchain-based products can make a significant impact in terms of wide consumer adoption in digital currency, especially central bank digital currency (CBDCs), gaming, and social.  Trillions in ValueAlmost anything of value can be tokenized and tokenization of financial and real-world assets could be the “killer use-case” blockchain needs to drive a breakthrough. We forecast $4 trillion to $5 trillion of tokenized digital securities and $1 trillion of distributed ledger technology (DLT)-based trade finance volumes by 2030.Technology EnablersBlockchain promises something that is in parts a replacement of a current functioning system and in parts new capabilities and operating models. From a technology specification perspective, blockchain needs to have transaction scale and throughput, strong guarantees of security, on-chain identity, privacy, Oracles, bridges, and good user experience.Legal EnablersContract creation and execution can be a painful process, making it ripe for disruption. Technology-enabled smart legal contracts, are legally binding agreements with obligations performed automatically by a computer.",431
157,"global insights citigps music industry. Putting The band Back Together- Citi Global Perspectives and SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountArticle06 Aug 2018Putting the Band Back TogetherRemastering the World of MusicCiti Global Perspectives & Solutions·ContributorsShareDownloadThe music industry is in the midst of two profound changes. First, consumers are increasingly opting to rent — rather than buy — music. Second, the demise of physical music has prompted artists to tour more often, driving significant growth in concerts and festivals.In the U.S., the music industry generated $43 billion in revenue, matching the prior peak in 2006. While business-to-business (B2B) revenues (Music Publishing and Licensing) and music ads (AM/FM, YouTube) are flattish, consumer outlays (Concerts, Subscriptions) are at all-time highs.While consumer spending habits are undergoing profound changes, the current industry structure has remained relatively static. That is, record labels are still record labels. Music distributors — Apple, Pandora, Sirius, and Spotify — are just music distributors. And, concert promoters — like Live Nation and AEG — are still concert promoters.Artists’ share of music revenues is small. In 2017, artists captured just 12% of music revenue with most of the value leakage driven by the costs of running a myriad of distribution platforms — AM/FM radio, satellite radio, Internet distributors — augmented by the costs (and profits) of the record labels.The proportion captured by artists is, however, on the rise (it was just 7% of industry revenues in 2000). The bulk of the improvement is not driven by the growth in music subscription services. Rather, it’s driven by the strength in the concert business. Music labels act as intermediaries for subscription services (Apple, Spotify) but are largely excluded from the economics of the concert business. As such, growth in concert revenue is particularly helpful to artists.With this backdrop, we think there are three ways the industry’s structure could evolve. First, we could see vertical integration. For example, concert promoters could merge with an existing distribution platform. Second, we could see horizontal integration. For example, existing distribution firms could consolidate. Third, we could see organic forms of vertical integration. That is, existing web-based distribution firms could organically morph into music labels (by targeting younger, less established artists).",492
158,"global insights citigps public wealth cities. Public Wealth of Cities - Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountVideo19 Mar 2018The Public Wealth of CitiesHow to Turn Around Cities Fortunes by Unlocking Public AssetsCiti Global Perspectives & Solutions·ContributorsShareDownloadIf you either live or work in New York City you get used to things being crowded — sidewalks, shops, streets, buses, trains, buses — pretty much everywhere you go there are people with you. Presumably it is the same in most other large metropolitan areas as cities are increasingly becoming places where people want to live. Although overall city population growth averages less than 1% in the U.S., what has been different recently is that the infrastructure in the city itself has aged, leading to an increased perception that the city is more crowded – subways feel more crowded as old signal equipment failures lead to train delays, overdue maintenance on roads and bridges leads to road congestion and increased traffic jams and commuter trains are running ‘standing room only’ into urban train stations that are at capacity.    In our 2016 Citi GPS report Infrastructure for Growth, we found the total global need for infrastructure spending was $58.6 trillion over the next 15 years. At the same time that report noted the world had an enormous infrastructure investment deficit with infrastructure spend as a percentage of GDP falling to around 3.3% - below what we viewed as a necessary level of 4.1% of GDP by 2020.Dag Detter and Stefan Fölster had previously argued in a Citi GPS report The Public Wealth of Nations that one of the ways nations could find money for infrastructure projects is by putting their public assets to work by managing them better and accounting for them on their national balance sheets. In their new book The Public Wealth of Cities, they update their argument to focus on cities, noting that most cities in the U.S. are facing an impending investment disaster, with a crisis in physical investment as well as a lack of funds to invest in the development of social and human assets.But there are standout cities that are doing much better than others and in fact can pull their countries along towards better growth and social development. These “turbo cities” have made canny investments that make their daily operation cheaper, more effective, and sometimes even yields a direct return. This gives economic muscle for further investments.",492
159,"The secret to turbo cities is that they make the value of their long-term investments more transparent and visible and make evidence-based decisions at arms’ length from day-to-day politics.Detter and Fölster advocate three steps for cities to move towards turbo cities: know your assets, allow more professional management of city assets, and shift expenditures from consumption to investment.",71
160,"global insights citigps public wealth nations. The Public Wealth Of Nations - Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountArticle11 Jun 2015The Public Wealth of NationsUnlocking the value of global public assetsCiti Global Perspectives & Solutions·ContributorsShareDownloadIn his foreword to the book The Public Wealth of Nations, Adrian Wooldridge, Management Editor of The Economist, suggests that Dag Detter and Stefan Fölster have proposed a new idea in the public policy arena which not only identifies a problem that few people had realized existed, but suggests a relatively pain-free way to tackle it while at the same time boosting the size of the global economy.The idea rests on the observation that governments around the world have an estimated $75 trillion of dollars of public assets, ranging from corporations to forests, which are often badly managed and frequently not even accounted for on their balance sheets. Over recent decades, policy makers have focused almost solely on managing debt while largely ignoring the question of public wealth. Given that in most countries public wealth is larger than public debt, just managing it better could help to solve the debt problem while also providing the material for future economic growth. A higher return of just 1% on global public assets would add some $750 billion to public revenues. Poor management not only throws money down the drain, but also forecloses opportunities. As an example, the fracking revolution, which is making the U.S. self-sufficient in oil, has taken place almost entirely on private land.In this Citi GPS report and as a preview to their upcoming book, Dag Detter and Stefan Fölster present their thesis that the governance of public wealth is one of the crucial institutional building blocks that divides well-run countries from failed states. They argue that the polarized debate between privatizers and nationalizers has missed the point — what really matters is the quality of asset management, and the focus when it comes to public wealth should be on yield rather than ownership. They calculate that improvements in public wealth management could yield returns greater than the world’s combined investment in infrastructure such as transport, power, water and communications. They also note that improvements in public wealth management could help to win the war against corruption as assets are moved at an arm’s length from politicians.",466
161,"global insights citigps purposeful innovation finance. Purposeful Innovation in Finance- Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountArticle15 Jan 2019Purposeful Innovation in FinanceCiti GPS Opinion ArticleCiti Global Perspectives & SolutionsContributor(s):  Jason Channell(Global Head of Sustainable Finance Citi Global Insights, Citi Research)ShareDownloadFor many, a real perception exists that leaders, politicians, policymakers and those characterized as the 'elite' are not listening to the broader population, which increases the sense of frustrated marginalization. The trait of 'I know better' is not limited to the elite but manifests itself across many areas of society — such as the controversial policy of 'no platforming' being witnessed at some universities in the U.K. This provides an example of a perhaps increasingly intolerant and selfish society — which highlights the importance of values in society and the importance of the dignity of, and respect afforded to, the individual.Inequality is a hugely important topic and one that we examined in great detail in our recent report written in conjunction with the Oxford Martin School: Citi GPS - Inequality and Prosperity in the Industrialized World. Inequality within countries has indeed risen markedly in recent years, as has inequality between generations, regions, and even companies. As we observed in the report, inequality matters economically because countries with greater levels of inequality often grow less fast than more equal countries, and there is reason to believe that growth is also more fragile. Inequality leads to declining social trust, the erosion of social cohesion and degradation of the political processes via lower electoral engagement, and it has even been linked to poorer health. Inequality also appears to be self-perpetuating, with the significant correlation between intergenerational mobility and the GINI coefficient implying a lower level of social mobility in less equal societies, again a key factor in the perception of equality and opportunity, which can be so important to an individual’s sense of self-esteem.As always, however, beneath the headlines, the detail can sometimes paint a different (though less attention-grabbing) picture. It is important to draw distinctions between income inequality and wealth inequality (typically defined as the share of aggregate wealth owned by the top 1%), as the latter is typically more unequally distributed. The U.K.",474
162,"actually has, in a relative sense, an intermediate level of wealth inequality, despite having relatively high income inequality, while the reverse is true for Germany and the Netherlands. It is also worth noting that wealth inequality was substantially higher in the early 20th century in many economies than it is today. Alvaredo et. al.  estimated that the share of the top 1% in the U.K. may have been as high as 70% in the early years of the 20th century and was still about 45% mid-century compared to around 20% currently. Moreover, in contrast to most developed countries, U.K. income inequality as defined by the Gini coefficient has actually declined since 2008, which flies in the face of the popular perception. However, regional and intergenerational inequality has risen, and it is this (along with other factors, such as wage growth) that is potentially more likely to be what is being 'felt'. Whatever one’s view of this complex subject — facts or semantics — the key point is that the belief of inequality is there and forms a key element of the sense of not being listened to and of frustrated marginalization. It is also worth considering the extent to which our ever-more connected world is a factor in the cementing of concepts into perceived wisdom and ultimately accepted realities. We do not intend to reproduce the wealth of detail contained in our Citi GPS inequality report in full in this limited response but highlight it as a source for further reading.It is all too easy to lay the blame for the increase in inequality at the foot of globalization. However, as the Centesimus Annus Encyclical of 1991 effectively points out, globalization, if monitored, can be an enormous source for good. Indeed, while inequality within countries has generally increased, global inequality (and inequality between countries) has declined since the late 1980s and particularly rapidly from 2008 as developing countries have closed the gap with developed countries. This is a direct reversal of the trend from the early 19th century to the late 1980s, when global inequality consistently increased. It is impossible to delink these more recent normalizations from the effects of globalization, which has, in hand with technology, arguably driven the most accelerated period of collective 'progress' in history.",469
163,"Since 1990, the number of people living in extreme poverty, on less than $1.90 per day, fell from 1.9 billion (35% of the population) to 836 million (11%) by 2015, despite the global population rising by 39%, from 5.3 billion people to 7.4 billion, over the same period.But enormous challenges remain. More than a quarter of the world still lacks access to clean water, while a third of us — some 2.4 billion people — lack access to basic sanitation, and a billion people lack access to electricity. Undernourishment affects 815 million people — more than one in ten of us go to bed hungry each night, while one-third of all food produced is wasted. Forty percent of children under the age of 14 (770 million) still lack access to a full education; aside from the obvious impact that a full education might have on their own lives, what impact might almost another 1 billion well-educated people have on the global economy, on the eradication of poverty, and on all the associated implications for conflict around the world?With that backdrop, we bring this paper around to two of the key issues — finance and technology — to be discussed as part of the Dublin Process convened by Centesimus Annus Pro Pontifice in January 2019 and to which this paper forms a submission.Technology can be an enormous force for positive progress, greater inclusivity and reduced inequality in the world. Mobile banking and financial technology (fintech) have the potential to lift millions out of poverty, for example by including the 2 billion people around the world who remain 'unbanked', which can easily lead to their exploitation at the end of long global supply chains. New on-line educational models have the potential not just to address some of the issues raised above but also opportunities for adult learning around the world and for re-training/re-skilling, which is likely to be a necessity resulting from the longer-term impacts of greater adoption of automation and AI on employment models, as we examined in our Technology at Work Citi GPS series. Alternative energy brings enormous potential for distributed generation and social and economic advancement. But none of this progress can be achieved at any scale without the finance to facilitate it.If globalization has been a key player in that enormous progress achieved since 1990, then finance has played a critical role in facilitating globalization.",493
164,"If applied correctly, with the correct moral compass, finance can be an enormous force for good. This brings us back to the key concepts of the original Rerum Novarum Encyclical of 1891 — that profit in itself is not a bad thing, whereas deliberate, exploitative profit at the expense of someone else may be morally unacceptable.Finance can play an important role in social development, and recent developments in the finance industry provide enormous cause for optimism. Socially Responsible Investing (SRI) originally grew out of faith-based investor groups that were unwilling to invest in industries such as alcohol, tobacco and armaments. While initially a very small part of the investment world, 2018 was the year that saw the broader concept of Sustainable Investing move very much into the mainstream. The signatories to the UN-backed Principles of Responsible Investment (the PRI) — who have publicly committed to integrate ESG (environmental, social and governance) factors into their investment processes — now have combined assets under management (AUM) of some $83 trillion, a similar figure to one year's total global GDP. While not all of the AUM of those signatories will be ESG funds per se, the amounts that are now estimated to be directly ESG screened or managed are about $30 trillion in equities, with a similar figure in credit.This provides the perfect example for the Dublin Process discussions of how religious teaching, values and practice can lead by example and provide a moral compass that the world, in time, may come to adopt more widely.It is correct that some of these assets may be paying lip service, but our broad experience in speaking to investors around the globe suggests that these are in the minority. The root of this fundamental shift lies in the changing attitudes of the ultimate asset owners — and asset managers are simply moving to reflect this. This shift could best be described as an increasing focus not just on the quantum of financial returns but on how those returns are made.Whilst in the past it might have been possible (albeit not ethically or morally responsible) to exploit either the physical or human resources in a supply chain based in some faraway corner of the world, our technologically and social media-connected world now makes it much harder for corporations to hide the skeletons in the closet. More fundamentally, consumers care about how their food is reared, grown or caught, and they are willing to pay premiums for healthy alternatives or for products that are sustainably sourced.",497
165,"Supply chains are paramount to brand perception, to pricing points and to consumer propensity to buy. Utilities are moving away from carbon-intensive generation, not least because of an inability to finance carbon-intensive fuels, while the transportation industry is undergoing its own evolution. The packaging and plastics industries are facing what could genuinely be couched as existential questions. In addition to increased environmental and social focus, all around the world, from Europe, to South Korea to Japan, we are seeing an equally dramatically increased focus on corporate governance, on stewardship codes, on diversity and on inclusion. The finance industry is facilitating these trends by developing new products, such as green bonds and social bonds, whereby the payment or quantum of a coupon can depend on the achievement of certain socially oriented goals. In Australia, the concept of universal ownership has taken root, in recognition that some of the Australian Superannuation Funds are such broad owners of assets that they are a systemic player and have not just a vested interest but also a responsibility to help to guide the overall economy in societally optimal directions, towards a sustainable future.This last point is perhaps the most critical of this response. Large parts of the financial world have now woken up to the fact that whilst a short-term profit may have attractions, a model predicated on a resource running out — or at worst on an exploitative approach or where returns are unsustainably high — is highly likely to go out of business or ultimately be regulated out of existence. The recognition that a more sustainable business model that is fit for the longer term may be significantly more valuable surely must be viewed as a purposeful, positive innovation in finance. Moreover, the increasing awareness of the 'social license to operate' amongst corporates could be argued to reflect a much greater focus on moral values and ethics in business and finance, very much in line with the broader concepts discussed in the original 'Rerum Novarum' of 1891.Moreover, there is a growing understanding that ESG factors are financial factors and that all of these issues — from selling prices to volumes, operating costs, financing costs, tax rates and funding sources — are inextricably linked with ESG, reflecting an encouraging symbiosis between financial and societal returns.But it is more than just not wanting to be associated with 'bad' things.",464
166,"An even greater cause for optimism comes from the rise in impact investing and the important concept of 'additionality' — i.e., the additional positive impact that a particular investment has made on achieving an improvement in a sustainability-related metric, as opposed to being merely aligned with it. Investors increasingly want to demonstrate a positive impact from their investment and are encouraging companies to report on the impacts of their own operations, both positive and negative. It is typically hard for investors to demonstrate additionality purely by buying a listed equity from someone who has sold it. However, additionality can be demonstrated via engagement, which brings us back to a more basic question of ""what is investment?""Is it simply trying to be slightly smarter than the next investor to gain a return, or is it trying to invest in a business and helping that business to grow and outperform? (This chimes well with one of the key points from the Centesimus Annus Encyclical of 1991 regarding whether a particular type of work actually adds value to the system.) Again, a greater level of active engagement with business managements to achieve more positive societal outcomes and more sustainable business models (and yes, ultimately higher financial returns) is surely a good thing, which flies in the face of our fears of an increasingly disengaged, selfish and intolerant world. Conclusions So in a society where values and ethics may appear to be overshadowed by the clouds of selfishness and intolerance, we believe that significant sources of optimism can be found in recent innovations in finance, suggesting an increasing recognition of the need for a balance between financial and societal returns.The benefits of globalization are clear, but we need a balance of globalization and localization. We should try to eschew the short-term win, embracing instead the longer-term, more sustainable and ultimately more valuable option. Success and better communication of longer-term goals and plans have an important role to play. Regulation also clearly has an important role to play, but we must be careful not to over-regulate and stifle innovation. Personal responsibility and a focus on ethics and moral compass must also play an important part, as highlighted by other papers written for the Dublin Process.We should consider our investments in a broader context, recognizing their impacts, both positive and negative, and being mindful of feedback loops.",462
167,"We can adopt frameworks to align our investments with societal goals, as an increasing number of investors are aligned with the United Nations Sustainable Development Goals, an issue examined at length in our report Citi GPS - UN SDGs: Pathways to Success - A Systematic Framework for Aligning Investments. The increasing levels of disclosure provided by Corporate Sustainability Reports, and efforts such as the Task Force on Climate-related Financial Disclosure (TCFD), play an important role, as do initiatives to standardize sustainability reporting, such as the Global Reporting Initiative (GRI) and those by the Sustainability Accounting Standards Board (SASB). Organizations such as the PRI can also play a critical role in purposeful financial innovation as well as drive systemic change. Investors should continue to increase their levels of engagement on the topics raised (and importantly not raised) in these reports and should demand greater levels of transparency, so that they are truly aware of what they are investing in and the implications of that investment, especially if they wish to claim additionality. Other measures could also help to reduce short termism – such as the view held by many that quarterly reporting adds little and can indeed take a company's attention away from longer-term goals to focus on maximizing shorter-term results.Finance can — if done in a longer-term, responsible, ethical and moral manner — facilitate so much positive progress globally, and financial markets and financial innovation have the potential to align the trillions of dollars that investors want to invest sustainably with the vast need for investment around the world. We have an individual and a collective responsibility to address the myriad of sustainability and ethical-related challenges in the world today, and if we do so successfully, the rewards, both societally and financially, are inestimable.Authors: Jason Channell,Authors: Jason Channell,Authors: Authors: Jason Channell,Authors: Jason Channell,Click here to view the report in full.GPS OpinionInclusive SeriesUP NEXTArticleUnited Nations Sustainable Development GoalsCiti Global Perspectives & SolutionsArticleRethinking Single-Use PlasticsCiti Global Perspectives & SolutionsVideoEnergy Darwinism IICiti Global Perspectives & SolutionsSubscribe to Citi GPSKeep up to date with our latest insights.EmailNextSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S.",490
168,"global insights citigps re birth telecom monopoly 2. Re-Birth of the Telecom Monopoly- Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountArticle25 Nov 2014Re-Birth of the Telecom MonopolyIs the industry broken and heading back to its monopolistic roots?Citi Global Perspectives & Solutions·ContributorsShareDownloadRemember when speed dialing on your phone was only possible because you switched from a rotary dial phone to a push-button touch-tone phone? It was sometime in the late 1970s/early 1980s when a majority of customers in the U.S. converted to push-button telephones and at just about the same time the first commercial cellular networks were launched in Japan and northern Europe and cable television moved from something only offered in remote communities to improve broadcast reception to PayTV services. It was also that start of the biggest change in the telecom industry model in at least 100 years.In 1982, regulators in the U.S. made a crucial decision to liberalize the telecom market and break up telecom monopoly AT&T based partly on new technologies with significant mass-market disruptive power (such as cable TV and wireless) but also on an awareness that the Internet was going to be the next big phenomenon which required the deployment of new communications technologies. This kicked off a global move toward telecom liberalization which fueled the TMT revolution.Thirty-two years later, the global telecom industry looks shockingly different. Mobile phone penetration is approaching 100% globally and the Internet has become the backbone of the global economy, but the telecom industry looks to be broken. It is close to ex-growth; the pressure to invest into the next ‘big thing’ is growing while the likes of Skype and WhatsApp are eroding its entry barriers and pressing down its returns; and its current business model raises more questions than answers.What happened? This report argues that liberalization, infrastructure competition and unrestricted equal access to any on-line information (net neutrality) have helped to connect the world incredibly fast.",414
169,"However, this policy combination has failed to produce a stable telecom business model suited for the future world, where all humans will be connected and many will rely on smart machines, robots or complex global systems not only for their work, pleasure and convenience, but also security, finances, health or even life.Hesitation of most policymakers to acknowledge the need for fundamental overhaul of telecom policies and to outline the direction of upcoming changes has led to weak and excessively short-term focused telecom strategies, unstable business models, preservation of inefficiencies as well as a culture that is unsupportive of innovation at local level.This report suggests the case for reviewing of the key policies on telecom competition and net neutrality is now stronger than ever. It proposes an alternative model based on pragmatic, reality-driven compromises and industry-vision. It advocates: 1) retaining infrastructure competition in areas where it is economically beneficial; 2) creation of structurally separated natural monopolies elsewhere; 3) creation of a viable wholesale market; and 4) conceptually non-neutral networks with regulation assuring basic services and avoiding potential abuse.This new model would produce a range of TMT and diversified service companies with varied backgrounds, product offerings and geographical reach, competing with each other on a basis of innovation and differentiation.",253
170,"global insights citigps re birth telecoms new digital industry. Re-birth of The Telecoms- Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountVideo04 Oct 2016Re-Birth of Telecoms into a New Digital IndustryTime to Dump the Dumb PipeCiti Global Perspectives & Solutions·ContributorsShareDownloadTime to Dump the Dumb Pipe   As a teenager I was fortunate enough to spend a few weeks in Ireland every summer with my grandmother. I promised to call when I got to the village, which meant going to the phone box outside the Post Office armed with a pocketful of coins, picking up the receiver and asking Alice (who worked in the Post Office) to connect me with an overseas operator who would finally put my through to my parents in New York. Over the years, the routine of “calling when I got there” stayed the same but how I made the call changed dramatically. As technology advanced and new infrastructure was built, the manual operator-to-operator connection was upgraded, and my calls moved to a fixed-line phone in the house and, eventually, to a mobile phone. Although the equipment was different, there was always a hefty charge that went to the telecom operator — Telecom Éireann, AT&T or Verizon. Today when I get to the village, I still “call home” but it’s usually by logging into the WiFi in the local pub and having a quick FaceTime chat. The biggest difference is that my calls are now essentially free.Over the past two decades, telecom companies have been busy building infrastructure that is critical to the communications sector — copper, cellular/mobile, cable, and fiber networks— and these networks are now the backbone of our increasingly digital economy. This connectivity-driven revolution has created some of the world’s largest companies who generate their profits by using the infrastructure that the telecom sector has built.",383
171,"While telecom operators have seen minimal industry growth of just 0%–3% in the past few years, sectors that use their networks such as Internet Services are seeing growth at rates at least six times higher.So what’s a telecom operator to do? We believe they have two choices: (1) they can streamline their business and continue providing the ‘dumb pipe’ to the digital ecosystem, or (2) they can embark on a digital transformation.In the report that follows, we investigate what a digital transformation would entail, how the future post-telecom era digital connectivity industry may shape up, and what it may mean for telecom investors. We see the aim of the transformation as building new competitive advantages in digital areas that are less prone to regulation than basic infrastructure. This entails a mindset change by telecom operators away from selling digital connectivity and towards selling service-enabling digital platforms, both to consumers as well as business-to-business customers.Investors may not yet be ready to assign much value to telecom companies for this transformation but we believe this could form the basis of a new and more sustainable long-term value creation story, at least for some telecoms. Operators’ ability to benefit from the digital transformation may vary substantially, but those in countries with less developed service industries — which have the skill to deliver and sell new services, the scale in their operations to make it profitable, and the right management style — will, in our view, likely succeed.",290
172,"global insights citigps rethinking plastics. Rethinking Single-Use Plastics- Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountSustainability SeriesArticle28 Aug 2018Rethinking Single-Use PlasticsResponding to a Sea Change in Consumer BehaviorCiti Global Perspectives & Solutions·ContributorsShareDownload“There’s no such thing as ‘away’. When we throw anything away it must go somewhere” — Annie Leonard, Executive Director of Greenpeace USARoughly half of global consumer packaging is made of plastic and over a third of resin that is produced by Chemical companies goes into packaging end markets. Plastics have become a staple of daily life in the modern world, steadily gaining share from other packaging materials over the last 50 years based on their low cost, durability, convenience, and malleability. However, environmental concerns around landfill contamination have grown steadily alongside increased plastics use, with a great deal of recent attention on ocean contamination and the growth of microplastics.While debates around the sustainability and recyclability of plastics have been long-running in Europe and the Americas, the Chinese government took a revolutionary approach earlier this year, deciding it would no longer import ~50% of the world’s scrap plastic and paper. As China has been the dominant importer of plastic scrap with an annual plastics consumption of 8 million tonnes, this has led to a collapse in the price of various recovered plastics materials, and a glut of oversupply piling up in Western ports.Echoing China’s actions, national and local governments have launched their own plastics bans. The U.K. has taken the lead position on preventing plastics waste with proposed bans on plastic cutlery, straws, and cotton buds/swabs. The EU has followed with their own ban, indicating once fully implemented in 2030 the changes could cost businesses over $3.5 billion per year. Some of the most aggressive bans have been in emerging market countries; given these countries’ per capita plastic use is very low, the bans have the potential to sharply impact future consumption growth of plastics.In response to increased environmental scrutiny, the plastics industry is not standing by idly. Chemical companies are adapting their portfolios and practices towards more environmentally-conscious strategies, focusing on light-weighing their products, investing in plastic recycling companies, improving recycling systems, and creating bio-based polymers.",480
173,"Almost 1 million tonnes of biodegradable plastics capacity has been built, and with appropriate legislation, the economic incentives could be established to build-out these higher-cost product capacities, addressing the environmental concerns.As plastics face increased regulatory and consumer scrutiny, substrates including metal, glass, and paper may potentially be positioned to gain back some market share. We see a few potential ‘battleground’ packaging products, including soft drink bottles, coffee cups, protective packaging for e-Commerce, and retail bags. However, consumer choices are not always clear cut, as other substrates may offer more favorable recyclability and waste performance at the expense of plastics’ cost and performance advantages.Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J. Juvekar,Randy Toth,Thomas P Wrigglesworth,Oscar Yee,Authors: Anthony Pettinari,Paul L Bradley,Bryan Burgmeier,Horace Chan,Scott Goldstein,P.J.",475
174,"global insights citigps securing indias growth next decade. Securing India's Growth- Citi Global Perspectives & SolutionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountInclusive Economic Growth SeriesArticle20 Feb 2018Securing India's Growth Over the Next DecadeTwin Pillars of Investment & ProductivityCiti Global Perspectives & Solutions·ContributorsShareDownloadIn this report, we look specifically at India and what types of pillars can be identified to drive the country’s growth over the next decade. Although the past does not guarantee future results, we thought the best place to start the journey of how India can transform itself from an emerging economy into one that grows with a sustained GDP growth rate of 8%+, is to look at the lessons learned from countries which have already succeeded in transition. We found that growth in labor productivity of over 6%, growth in investment of over 10% and growth in the overall efficiency of production (the Total Factor Productivity) to 3% were the three primary drivers of GDP growth across our sample of countries. The final piece in the growth puzzle was that poorer economies grow faster in 60% of cases, those countries with 8%+ GDP growth had per capita income of less than $10,000.In order to achieve investment growth in the double digits and to create employment opportunities for its swelling labor force, India will need to industrialize further target manufacturing as a share of GDP to rise to 25% by 2025 from its current level of 18%. To do this, a new potential leading sector in manufacturing must be identified based on size, productivity, employability, and exportability. Our analysis identifies chemicals (including pharmaceuticals and petrochemicals) as a promising candidate to move up the value chain, as well as food processing and textiles & apparel.In a previous Citi GPS report Infrastructure for Growth, we estimated that on average, a 1% increase in infrastructure investment associated with a 1.2% increase in GDP growth.",411
175,"In the case of India, we estimate that total infrastructure spend could be around $3 trillion in the next 10 years bringing the infrastructure (power, ports, roads, rails, telecom), reforms in input markets (land and labor), focus on soft infrastructure (healthcare reforms, education) and the harnessing of resources (oil & gas, coal, cement, iron & steel) would all lead to higher productivity and growth rates.Finally, exports as a productivity driver and employment creator could play a significant role in total factor productivity growth. If India can increase its export-to-GDP ratio (including service exports) to at least 20% by 2021, India’s exports could reach ~700 Billion.The result of all this growth would be higher per capita income, increasing urbanization, and a shift in consumer patterns as India moves up the ladder form a low-growth to a high-growth economy.Authors: Samiran Chakraborty,Anurag Jha,Venkatesh Balasubramaniam,Raashi Chopra, CFA,Johanna Chua,Jamshed Dadabhoy,Ronit Ghose, CFA,Surendra Goyal, CFA,Saurabh Handa,Rishi V Iyer,Vijit Jain,Gaurav Malhotra, CFA,Aditya Mathur,Arvind Sharma,Atul Tiwari,Click here to view the report in full.Emerging MarketsGDPGrowthInclusive SeriesIndiaInfrastructureProductivityUP NEXTArticleChina’s Belt & Road at FiveCiti Global Perspectives & SolutionsArticleInequality and Prosperity in the Industrialized WorldCiti Global Perspectives & SolutionsVideoInfrastructure for GrowthCiti Global Perspectives & SolutionsSubscribe to Citi GPSKeep up to date with our latest insights.EmailNextSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S.",407
